BulletMass,BulletManufacturer,BulletType,PowderManufacturer,PowderType,StartLoad,TestVelocity
110,Speer,SP,Hodgdon,H-1000,80.0,3189
110,Speer,SP,Hodgdon,H-4831,79.0,3355
110,Speer,SP,Hodgdon,H-4350,72.0,3337
110,Speer,SP,Hodgdon,H-414,66.0,3330
110,Speer,SP,Hodgdon,H-380,66.0,3282
110,Speer,SP,Hodgdon,Varget,67.0,3424
110,Speer,SP,Hodgdon,H-4895,60.0,3381
110,Hornady,V-Max SP RN or FMJ,IMR,IMR-4064,55.7,3200
110,Hornady,V-Max SP RN or FMJ,Alliant,RL-15,57.2,3200
110,Hornady,V-Max SP RN or FMJ,Accurate Arms,AAC-4350,66.5,3200
110,Hornady,V-Max SP RN or FMJ,IMR,IMR-4350,67.5,3200
110,Hornady,V-Max SP RN or FMJ,Hodgdon,H-4350,65.1,3200
110,Hornady,V-Max SP RN or FMJ,Alliant,Power Pro 2000-MR,63.3,3200
110,Hornady,V-Max SP RN or FMJ,IMR,IMR-4007ssc,71.8,3200
125,Barnes,XFB,Hodgdon,H-1000,80.0,3260
125,Barnes,XFB,Hodgdon,H-4831,75.0,3286
125,Barnes,XFB,Hodgdon,H-4350,68.0,3250
125,Barnes,XFB,Hodgdon,H-414,65.0,3219
125,Barnes,XFB,Hodgdon,H-380,62.0,3056
125,Barnes,XFB,Hodgdon,Varget,65.0,3281
125,Barnes,XFB,Hodgdon,H-4895,57.0,3140
130,Hornady,SP,Hodgdon,H-1000,80.0,3125
130,Hornady,SP,Hodgdon,H-4831,77.0,3116
130,Hornady,SP,Hodgdon,H-4350,70.0,3219
130,Hornady,SP,Hodgdon,H-414,67.0,3219
130,Hornady,SP,Hodgdon,H-380,64.0,3111
130,Hornady,SP,Hodgdon,Varget,64.0,3218
130,Hornady,SP,Hodgdon,H-4895,58.0,3187
150,Sierra,SP,Hodgdon,H-1000,80.0,3004
150,Sierra,SP,Hodgdon,H-4831,73.0,3025
150,Sierra,SP,Hodgdon,Hybrid 100V,67.0,3026
150,Sierra,SP,Hodgdon,H-4350,68.0,3052
150,Sierra,SP,Hodgdon,H-414,62.0,2973
150,Sierra,SP,Hodgdon,H-380,62.0,2903
150,Sierra,SP,Hodgdon,Varget,56.0,2952
150,Sierra,SP,Hodgdon,H-4895,57.0,2991
150,Barnes,TTSX BT,Hodgdon,H-4831,75.0,2985
150,Barnes,TTSX BT,Hodgdon,Hybrid 100V,68.0,3140
150,Barnes,TTSX BT,Hodgdon,H-4350,69.0,3062
150,Barnes,TTSX BT,Hodgdon,H-414,65.0,3053
150,Barnes,TTSX BT,Hodgdon,H-380,65.0,3030
150,Barnes,TTSX BT,Hodgdon,H-4895,57.0,3006
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,IMR,IMR-4064,50.5,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Hodgdon,Varget,51.3,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,IMR,IMR-4350,60.3,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Accurate Arms,AAC-4350,60.6,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,IMR,IMR-4831,60.3,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Vihtavuori,VV-N165,64.4,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Winchester,WXR,66.1,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Alliant,RL-19,66.8,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Accurate Arms,AAC-3100,68.9,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Alliant,RL-22,69.5,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Accurate Arms,MAGPRO,68.5,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Hodgdon,H-4350,58.4,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,Hodgdon,Hybrid 100V,63.5,2800
150,Hornady,GMX IB SST SP BTSP RN BT-FMJ A-Max,IMR,IMR-4007ssc,63.8,2800
