Extracted from http://www.shootingtimes.com/ammo/ammunition_st_burnchart_200907/ on 18 Jan 2016; rank from fastest (suitable for small handgun charges) to slowest (suitable for large magnum charges) powder burn rates
Rank,Manufacturer,Product,Notes
1,Norma,R1 
2,Winchester,WAALite
3,VihtaVuori,N310
4,Alliant,e3
5,Hodgdon,Titewad
6,Alliant,Red Dot
7,Hodgdon,Clays
8,IMR,Hi-Skor 700-X
9,Alliant,Bullseye
10,Hodgdon,Titegroup
11,Alliant,American Select
12,Accurate Arms, Solo 1000
13,Alliant,Green Dot
14,IMR,Trial Boss
15,Winchester,Super Handicap
16,Hodgdon,International
17,IMR,PB
18,VihtaVuori,N320
19,Winchester,WST
20,Accurate Arms, AAC2
21,IMR,SR7625
22,Hodgdon,HP-38
23,Winchester,231
24,Alliant,20/28
25,Alliant,Unique
26,Hodgdon,Universal
27,Alliant,Power Pistol
28,VihtaVuori,N330
29,Alliant,Herco
30,Winchester,WSF
31,VihtaVuori,N340
32,IMR,Hi-Skor 800 X
33,IMR,SR4756
34,Accurate Arms,AAC5
35,Hodgdon,HS 6
36,VihtaVuori,3N37
37,VihtaVuori,N350
38,Hodgdon,HS 7
39,VihtaVuori,3N38
40,Alliant,Blue Dot
41,Accurate Arms,AAC7
42,Hodgdon,Longshot
43,Alliant,410
44,Alliant,2400
45,Accurate Arms,AAC9
46,Norma,R123
47,VihtaVuori,N110
48,Hodgdon,Lil'Gun
49,Hodgdon,H110
50,Winchester,296
51,IMR,IMR4227
52,Hodgdon,H4227
53,IMR,SR4759
54,Accurate Arms,AAC1680
55,Norma,200
56,Alliant,Reloder 7
57,IMR,IMR4198
58,Hodgdon,H4198
59,VihtaVuori,N120
60,Hodgdon,H322
61,Accurate Arms,2015BR
62,VihtaVuori,N130
63,IMR,IMR3031
64,VihtaVuori,N133
65,Hodgdon,Benchmark
66,Hodgdon,H335
67,Accurate Arms,2230
68,Accurate Arms,2460
69,Hodgdon,H4895
70,VihtaVuori,N530
71,IMR,IMR4895
72,VihtaVuori,N135
73,Alliant,Reloder 12
74,IMR,IMR4320
75,Accurate Arms,2495BR
76,IMR,IMR4064
77,Norma,202
78,Accurate Arms,AAC2520
79,Alliant,Reloder15
80,VihtaVuori,N140
81,Hodgdon,Varget
82,Winchester,748
83,Hodgdon,BL-C(2)
84,Hodgdon,H380
85,IMR,IMR4007SSC
86,VihtaVuori,N540
87,Winchester,760
88,Hodgdon,H414
89,VihtaVuori,N150
90,Accurate Arms,AAC2700
91,IMR,IMR4350
92,Hodgdon,H4350
93,Accurate Arms,AAC4350
94,Norma,204
95,Hodgdon,Hybrid 100V
96,VihtaVuori,N550
97,Alliant,Reloder 19
98,IMR,IMR4831
99,Accurate Arms,AAC3100
100,VihtaVuori,N160
101,Hodgdon,H4831,"Also H4831SC"
102,Winchester Supreme,780
103,Norma,MRP
104,Alliant,Reloder 22
105,VihtaVuori,N560
106,VihtaVuori,N165
107,IMR,IMR7828
108,VihtaVuori,N170
109,Hodgdon,H1000
110,Hodgdon,Retumbo
111,VihtaVuori,N570
112,Accurate Arms,AAC8700
113,Hodgdon,H870
114,VihtaVuori,24N41
115,Hodgdon,H50BMG
116,Hodgdon,US869
117,VihtaVuori,20N29
